Ticker,Company,CEO,Year,SEO Pay
GOOGL,Alphabet Inc.,Sundar Pichai,2019,"$280,621,552"
INTC,Intel Corporation,Robert Swan,2019,"$66,935,100"
AMD,"Advanced Micro Devices, Inc.",Lisa Su,2019,"$58,534,288"
MSG,Madison Square Garden Sports Corp.,James Dolan,2019,"$54,116,491"
HWM,Howmet Aerospace Inc.,John Plant,2019,"$51,712,578"
DIS,The Walt Disney Company,Robert Iger,2019,"$47,517,762"
PINS,"Pinterest, Inc.",Benjamin Silbermann,2019,"$46,222,113"
DISCA,"Discovery, Inc.",David Zaslav,2019,"$45,843,912"
UTHR,United Therapeutics Corporation,Martine Rothblatt,2019,"$45,635,037"
FWONA,Liberty Media Corp.,Gregory Maffei,2019,"$44,045,070"
KHC,The Kraft Heinz Company,Miguel Patricio,2019,"$43,297,480"
MSFT,Microsoft Corporation,Satya Nadella,2019,"$42,910,215"
VMW,"VMware, Inc.",Patrick Gelsinger,2020,"$42,549,725"
UBER,"Uber Technologies, Inc.",Dara Khosrowshahi,2019,"$42,428,233"
FOXA,Fox Corporation,Lachlan Murdoch,2019,"$42,111,103"
NOW,"ServiceNow, Inc.",William McDermott,2019,"$41,682,335"
ADBE,"Adobe, Inc.",Shantanu Narayen,2019,"$39,145,631"
NFLX,"Netflix, Inc.",Reed Hastings,2019,"$38,577,129"
CVS,CVS Health Corporation,Larry Merlo,2019,"$36,451,749"
CMCSA,Comcast Corporation,Brian Roberts,2019,"$36,370,183"
CAT,Caterpillar Inc.,Donald Umpleby III,2019,"$34,519,129"
WFC,Wells Fargo & Company,Charles Scharf,2019,"$34,286,574"
CVX,Chevron Corporation,Michael Wirth,2019,"$33,070,662"
GBL,"GAMCO Investors, Inc.",Mario Gabelli,2019,"$32,236,004"
T,AT&T Inc.,Randall Stephenson,2019,"$32,032,925"
PSX,Phillips 66,Greg Garland,2019,"$31,900,878"
MS,Morgan Stanley,James Gorman,2019,"$31,642,395"
JPM,JPMorgan Chase & Co.,James Dimon,2019,"$31,612,616"
BURL,"Burlington Stores, Inc.",Michael O'Sullivan,2020,"$31,056,597"
LMT,Lockheed Martin Corporation,Marillyn Hewson,2019,"$30,913,982"
PLD,"Prologis, Inc.",Hamid Moghadam,2019,"$30,383,438"
COP,ConocoPhillips,Ryan Lance,2019,"$30,363,744"
CDAY,"Ceridian HCM Holding, Inc.",David Ossip,2019,"$30,180,957"
ATVI,"Activision Blizzard, Inc.",Robert Kotick,2019,"$30,122,896"
GILD,"Gilead Sciences, Inc.",Daniel O'Day,2019,"$29,107,854"
LHX,"L3Harris Technologies, Inc.",William Brown,2020,"$29,037,879"
VLO,Valero Energy Corporation,Joseph Gorder,2019,"$28,200,511"
SO,The Southern Company,Thomas Fanning,2019,"$27,865,185"
ABT,Abbott Laboratories,Miles White,2019,"$27,802,817"
TMUS,"T-Mobile US, Inc.",John Legere,2019,"$27,756,690"
FIS,"Fidelity National Information Services, Inc.",Gary Norcross,2019,"$27,658,117"
MRK,"Merck & Co., Inc.",Kenneth Frazier,2019,"$27,648,475"
FISV,"Fiserv, Inc.",Jeffery Yabuki,2019,"$27,601,026"
HCA,"HCA Healthcare, Inc.",Samuel Hazen,2019,"$26,788,251"
CNC,Centene Corporation,Michael Neidorff,2019,"$26,438,425"
OSW,OneSpaWorld Holdings Ltd.,Glenn Fusfield,2019,"$26,381,708"
BBIO,"BridgeBio Pharma, Inc.",Neil Kumar,2019,"$26,334,063"
SMTC,Semtech Corporation,Mohan Maheswaran,2020,"$26,095,955"
BAC,Bank of America Corporation,Brian Moynihan,2019,"$26,039,213"
CRM,"salesforce.com, inc.",Marc Benioff,2020,"$25,969,494"
URGN,UroGen Pharma Ltd.,Elizabeth Barrett,2019,"$25,900,823"
CSCO,"Cisco Systems, Inc.",Charles Robbins,2019,"$25,829,833"
PYPL,"PayPal Holdings, Inc.",Daniel Schulman,2019,"$25,825,473"
C,Citigroup Inc.,Michael Corbat,2019,"$25,508,761"
JNJ,Johnson & Johnson,Alex Gorsky,2019,"$25,365,777"
CMI,Cummins Inc.,N. Linebarger,2019,"$25,116,751"
LVS,Las Vegas Sands Corp.,Sheldon Adelson,2019,"$24,680,118"
GS,"The Goldman Sachs Group, Inc.",David Solomon,2019,"$24,657,737"
GE,General Electric Company,H. Culp Jr.,2019,"$24,553,788"
AMP,"Ameriprise Financial, Inc.",James Cracchiolo,2019,"$24,516,930"
UHS,"Universal Health Services, Inc.",Alan Miller,2019,"$24,473,240"
BLK,"BlackRock, Inc.",Laurence Fink,2019,"$24,308,254"
THC,Tenet Healthcare Corporation,Ronald Rittenmeyer,2019,"$24,288,660"
V,Visa Inc.,Alfred Kelly Jr.,2019,"$24,265,771"
TT,Trane Technologies Plc,Michael Lamach,2019,"$24,217,128"
AMG,"Affiliated Managers Group, Inc.",Jay Horgen,2019,"$24,197,628"
MPC,Marathon Petroleum Corporation,Gary Heminger,2019,"$24,129,164"
PANW,"Palo Alto Networks, Inc.",Nikesh Arora,2019,"$23,885,839"
AXP,American Express Company,Stephen Squeri,2019,"$23,796,002"
MSI,"Motorola Solutions, Inc.",Gregory Brown,2019,"$23,619,990"
XOM,Exxon Mobil Corporation,Darren Woods,2019,"$23,494,929"
FB,"Facebook, Inc.",Mark Zuckerberg,2019,"$23,415,973"
MA,Mastercard Incorporated,Ajay Banga,2019,"$23,249,977"
QCOM,QUALCOMM Incorporated,Steven Mollenkopf,2019,"$23,065,052"
IHRT,"iHeartMedia, Inc.",Robert Pittman,2019,"$22,868,420"
BL,"BlackLine, Inc.",Therese Tucker,2019,"$22,552,158"
LIN,Linde Plc,Stephen Angel,2019,"$22,475,878"
IQV,"IQVIA Holdings, Inc.",Ari Bousbib,2019,"$22,139,776"
PM,Philip Morris International Inc.,Andre Calantzopoulos,2019,"$22,125,060"
WMT,Walmart Inc.,C. McMillon,2020,"$22,105,350"
NEE,"NextEra Energy, Inc.",James Robo,2019,"$21,877,597"
DE,Deere & Company,Samuel Allen,2019,"$21,697,885"
GM,General Motors Company,Mary Barra,2019,"$21,630,867"
SSNC,"SS&C Technologies Holdings, Inc.",William Stone,2019,"$21,620,325"
ABBV,AbbVie Inc.,Richard Gonzalez,2019,"$21,610,598"
UTX,Raytheon Technologies Corp.,Gregory Hayes,2019,"$21,538,847"
REGN,"Regeneron Pharmaceuticals, Inc.",Leonard Schleifer,2019,"$21,455,117"
EL,"The Estee Lauder Companies, Inc.",Fabrizio Freda,2019,"$21,435,428"
HLT,"Hilton Worldwide Holdings, Inc.",Christopher Nassetta,2019,"$21,374,121"
EA,Electronic Arts Inc.,Andrew Wilson,2020,"$21,365,751"
PTON,"Peloton Interactive, Inc.",John Foley,2019,"$21,359,700"
LLY,Eli Lilly and Company,David Ricks,2019,"$21,283,242"
ZTS,Zoetis Inc.,Juan Alaix,2019,"$21,145,419"
PAYC,"Paycom Software, Inc.",Chad Richison,2019,"$21,138,558"
KR,The Kroger Co.,W. McMullen,2020,"$21,129,648"
SLG,SL Green Realty Corp.,Marc Holliday,2019,"$20,990,016"
MRVL,Marvell Technology Group Ltd.,Matthew Murphy,2020,"$20,624,344"
EVBG,"Everbridge, Inc.",David Meredith,2019,"$20,536,615"
HON,Honeywell International Inc.,Darius Adamczyk,2019,"$20,525,104"
KLAC,KLA Corporation,Richard Wallace,2019,"$20,512,367"
GPN,Global Payments Inc.,Jeffrey Sloan,2019,"$20,502,096"
PG,The Procter & Gamble Company,David Taylor,2019,"$20,498,812"
CB,Chubb Limited,Evan Greenberg,2019,"$20,475,070"
GRPN,"Groupon, Inc.",Rich Williams,2019,"$20,337,130"
MMC,"Marsh & McLennan Companies, Inc.",Daniel Glaser,2019,"$20,331,697"
NOC,Northrop Grumman Corporation,Kathy Warden,2019,"$20,307,994"
EMR,Emerson Electric Co.,David Farr,2019,"$20,301,576"
AMCX,AMC Networks Inc.,Joshua Sapan,2019,"$20,196,317"
IBM,International Business Machines Corporation,Virginia Rometty,2019,"$20,160,865"
ETN,Eaton Corporation plc,Craig Arnold,2019,"$19,962,364"
OMC,"Omnicom Group, Inc.",John Wren,2019,"$19,818,780"
SRE,Sempra Energy,Jeffrey Martin,2019,"$19,806,346"
ES,Eversource Energy,James Judge,2019,"$19,806,088"
ECL,Ecolab Inc.,Douglas Baker,2019,"$19,803,193"
SPB,"Spectrum Brands Holdings, Inc.",David Maura,2019,"$19,688,122"
ALL,The Allstate Corporation,Thomas Wilson,2019,"$19,615,696"
AMGN,Amgen Inc.,Robert Bradway,2019,"$19,612,793"
ANSS,"ANSYS, Inc.",Ajei Gopal,2019,"$19,591,413"
AIG,"American International Group, Inc.",Brian Duperreault,2019,"$19,369,637"
CSGP,"CoStar Group, Inc.",Andrew Florance,2019,"$19,324,540"
HPQ,HP Inc.,Dion Weisler,2019,"$19,317,972"
CI,Cigna Corporation,David Cordani,2019,"$19,303,032"
SBUX,Starbucks Corporation,Kevin Johnson,2019,"$19,241,950"
WBA,"Walgreens Boots Alliance, Inc.",Stefano Pessina,2019,"$19,156,202"
CDNS,"Cadence Design Systems, Inc.",Lip-Bu Tan,2019,"$19,146,556"
SLB,Schlumberger NV,Olivier Peuch,2019,"$19,117,170"
NUE,Nucor Corporation,John Ferriola,2019,"$19,099,582"
TJX,"The TJX Companies, Inc.",Ernie Herrman,2020,"$19,083,676"
TMO,Thermo Fisher Scientific Inc.,Marc Casper,2019,"$19,023,145"
WRLD,World Acceptance Corporation,R. Prashad,2019,"$19,005,948"
ADP,"Automatic Data Processing, Inc.",Carlos Rodriguez,2019,"$19,000,187"
ALXN,"Alexion Pharmaceuticals, Inc.",Ludwig Hantson,2019,"$18,947,984"
TGT,Target Corporation,Brian Cornell,2020,"$18,938,363"
TXT,Textron Inc.,Scott Donnelly,2020,"$18,921,598"
TH,Target Hospitality Corp.,James Archer,2019,"$18,895,549"
UNH,UnitedHealth Group Incorporated,David Wichmann,2019,"$18,886,989"
ROP,"Roper Technologies, Inc.",L. Hunn,2019,"$18,812,414"
MUR,Murphy Oil Corporation,Roger Jenkins,2019,"$18,804,373"
VRTX,Vertex Pharmaceuticals Incorporated,Jeffrey Leiden,2019,"$18,789,985"
USB,U.S. Bancorp,Andrew Cecere,2019,"$18,785,026"
SIRI,"Sirius XM Holdings, Inc.",James Meyer,2019,"$18,778,831"
BMY,Bristol-Myers Squibb Company,Giovanni Caforio,2019,"$18,767,253"
EXAS,Exact Sciences Corporation,Kevin Conroy,2019,"$18,716,543"
KO,The Coca-Cola Company,James Quincey,2019,"$18,701,149"
WLTW,Willis Towers Watson Public Limited Company,John Haley,2019,"$18,691,731"
SWK,"Stanley Black & Decker, Inc.",James Loree,2019,"$18,687,549"
TXN,Texas Instruments Incorporated,Richard Templeton,2019,"$18,633,807"
DDOG,"Datadog, Inc.",Olivier Pomel,2019,"$18,577,873"
SGMS,Scientific Games Corporation,Barry Cottle,2019,"$18,574,231"
MYL,Mylan N.V.,Heather Bresch,2019,"$18,509,260"
AM,Antero Midstream Corp.,Paul Rady,2019,"$18,406,065"
BMRN,BioMarin Pharmaceutical Inc.,Jean-Jacques Bienaime,2019,"$18,405,856"
MMM,3M Company,Michael Roman,2019,"$18,321,566"
GD,General Dynamics Corporation,Phebe Novakovic,2019,"$18,313,204"
LEN,Lennar Corporation,Richard Beckwitt,2019,"$18,279,581"
PNTG,"The Pennant Group, Inc.",Daniel Walker,2019,"$18,278,564"
ALGN,"Align Technology, Inc.",Joseph Hogan,2019,"$18,269,139"
DHR,Danaher Corporation,Thomas Joyce,2019,"$18,193,200"
BIIB,Biogen Inc.,Michel Vounatsos,2019,"$18,159,858"
ADM,Archer-Daniels-Midland Company,Juan Luciano,2019,"$18,140,421"
MDLZ,"Mondelez International, Inc.",Dirk de Put,2019,"$18,115,449"
VZ,Verizon Communications Inc.,Hans Vestberg,2019,"$18,095,355"
AMT,American Tower Corporation,James Taiclet Jr.,2019,"$18,095,288"
UPS,"United Parcel Service, Inc.",David Abney,2019,"$18,030,925"
MOH,"Molina Healthcare, Inc.",Joseph Zubretsky,2019,"$18,025,074"
HAS,"Hasbro, Inc.",Brian Goldner,2019,"$17,960,878"
PFE,Pfizer Inc.,Albert Bourla,2019,"$17,928,963"
NCLH,Norwegian Cruise Line Holdings Ltd.,Frank Rio,2019,"$17,808,364"
MDT,Medtronic Plc,Omar Ishrak,2019,"$17,796,325"
CRL,"Charles River Laboratories International, Inc.",James Foster,2019,"$17,722,105"
EBAY,eBay Inc.,Scott Schenkel,2019,"$17,647,256"
KOD,"Kodiak Sciences, Inc.",Victor Perlroth,2019,"$17,642,007"
INTU,Intuit Inc.,Sasan Goodarzi,2019,"$17,506,677"
PH,Parker-Hannifin Corporation,Thomas Williams,2019,"$17,472,500"
PVH,PVH Corp.,Emanuel Chirico,2020,"$17,464,313"
F,Ford Motor Company,James Hackett,2019,"$17,355,506"
DAL,"Delta Air Lines, Inc.",Edward Bastian,2019,"$17,325,378"
GES,"Guess, Inc.",Carlos Alberini,2020,"$17,302,537"
D,"Dominion Energy, Inc.",Thomas Farrell,2019,"$17,257,035"
MPW,"Medical Properties Trust, Inc.",Edward Aldag Jr.,2019,"$17,253,436"
CTL,"CenturyLink, Inc.",Jeffrey Storey,2019,"$17,235,108"
RVNC,"Revance Therapeutics, Inc.",Mark Foley,2019,"$17,190,430"
APD,"Air Products and Chemicals, Inc.",Seifollah Ghasemi,2019,"$17,031,957"
WSM,"Williams-Sonoma, Inc.",Laura Alber,2020,"$17,028,444"
AVTR,"Avantor, Inc.",Michael Stubblefield,2019,"$16,995,265"
GT,The Goodyear Tire & Rubber Company,Richard Kramer,2019,"$16,970,655"
MU,"Micron Technology, Inc.",Sanjay Mehrotra,2019,"$16,944,751"
XEL,Xcel Energy Inc.,Benjamin Fowke III,2019,"$16,898,798"
PEP,"PepsiCo, Inc.",Ramon Laguarta,2019,"$16,870,817"
DVA,DaVita Inc.,Javier Rodriguez,2019,"$16,853,460"
LNG,"Cheniere Energy, Inc.",Jack Fusco,2019,"$16,789,520"
HSY,The Hershey Company,Michele Buck,2019,"$16,787,188"
TRV,"The Travelers Companies, Inc.",Alan Schnitzer,2019,"$16,778,809"
CAR,"Avis Budget Group, Inc.",Larry Shon,2019,"$16,742,382"
BG,Bunge Limited,Gregory Heckman,2019,"$16,734,730"
HUM,Humana Inc.,Bruce Broussard,2019,"$16,726,455"
LADR,Ladder Capital Corp.,Brian Harris,2019,"$16,708,186"
NSC,Norfolk Southern Corporation,James Squires,2019,"$16,636,674"
ABMD,"ABIOMED, Inc.",Michael Minogue,2020,"$16,612,766"
AGIO,"Agios Pharmaceuticals, Inc.",Jacqualyn Fouse,2019,"$16,607,994"
VFC,VF Corp.,Steven Rendle,2020,"$16,600,591"
GIII,"G-III Apparel Group, Ltd.",Morris Goldfarb,2020,"$16,597,492"
IPG,"The Interpublic Group of Companies, Inc.",Michael Roth,2019,"$16,590,172"
EQIX,"Equinix, Inc.",Charles Meyers,2019,"$16,575,596"
PNC,"The PNC Financial Services Group, Inc.",William Demchak,2019,"$16,535,810"
PKI,"PerkinElmer, Inc.",Robert Friel,2019,"$16,481,787"
HUN,Huntsman Corporation,Peter Huntsman,2019,"$16,468,951"
YUM,"Yum! Brands, Inc.",Greg Creed,2019,"$16,369,090"
NXST,"Nexstar Media Group, Inc.",Perry Sook,2019,"$16,365,697"
KW,"Kennedy-Wilson Holdings, Inc.",William McMorrow,2019,"$16,312,480"
COTY,Coty Inc.,Pierre Laubies,2019,"$16,211,992"
MEC,"Mayville Engineering Company, Inc.",Robert Khampuis,2019,"$16,160,594"
AGNC,AGNC Investment Corp.,Gary Kain,2019,"$16,130,400"
SCHW,The Charles Schwab Corporation,Walter Bettinger II,2019,"$16,101,141"
CMG,"Chipotle Mexican Grill, Inc.",Brian Niccol,2019,"$16,068,144"
CLF,Cleveland-Cliffs Inc.,Celso Goncalves,2019,"$16,066,089"
FANG,"Diamondback Energy, Inc.",Travis Stice,2019,"$16,049,656"
BDX,"Becton, Dickinson and Company",Vincent Forlenza,2019,"$16,014,633"
NULL,Aon Plc,Gregory Case,2019,"$16,007,843"
OXY,Occidental Petroleum Corporation,Vicki Hollub,2019,"$15,990,903"
FDX,FedEx Corporation,Frederick Smith,2019,"$15,961,974"
CTSH,Cognizant Technology Solutions Corporation,Brian Humphries,2019,"$15,958,002"
CLNY,"Colony Capital, Inc.",Thomas Barrack Jr.,2019,"$15,956,955"
LYB,LyondellBasell Industries NV,Bhavesh V. Patel,2019,"$15,943,313"
IP,International Paper Company,Mark Sutton,2019,"$15,924,647"
ACM,AECOM,Michael Burke,2019,"$15,910,241"
DOW,"Dow, Inc.",James Fitterling,2019,"$15,878,639"
ELAN,"Elanco Animal Health, Inc.",Jeffrey Simmons,2019,"$15,801,769"
BSX,Boston Scientific Corporation,Michael Mahoney,2019,"$15,764,140"
FCX,"Freeport-McMoRan, Inc.",Richard Adkerson,2019,"$15,742,249"
SPLK,Splunk Inc.,Douglas Merritt,2020,"$15,710,645"
WMB,"The Williams Companies, Inc.",Alan Armstrong,2019,"$15,590,339"
CAH,"Cardinal Health, Inc.",Michael Kaufmann,2019,"$15,570,944"
CSX,CSX Corporation,James Foote,2019,"$15,527,533"
MAT,"Mattel, Inc.",Ynon Kreiz,2019,"$15,514,997"
IAC,IAC/InterActiveCorp. /Old/,Joseph Levin,2019,"$15,508,980"
JCI,Johnson Controls International Plc,George Oliver,2019,"$15,476,637"
ANTM,"Anthem, Inc.",Gail Boudreaux,2019,"$15,473,139"
EXC,Exelon Corporation,Christopher Crane,2019,"$15,444,692"
ITW,Illinois Tool Works Inc.,E. Santi,2019,"$15,440,345"
MCK,McKesson Corporation,Brian Tyler,2020,"$15,435,470"
MO,"Altria Group, Inc.",Howard Willard,2019,"$15,417,616"
LNC,Lincoln National Corporation,Dennis Glass,2019,"$15,412,217"
CHK,Chesapeake Energy Corporation,Robert Lawler,2019,"$15,392,109"
ED,"Consolidated Edison, Inc.",John McAvoy,2019,"$15,345,285"
AGCO,AGCO Corporation,Martin Richenhagen,2019,"$15,287,732"
APTV,Aptiv Plc,Kevin Clark,2019,"$15,164,533"
INCY,Incyte Corporation,Herve Hoppenot,2019,"$15,151,238"
PPG,"PPG Industries, Inc.",Michael McGarry,2019,"$15,117,938"
DKS,"Dick's Sporting Goods, Inc.",Edward Stack,2020,"$15,048,162"
ACN,Accenture Plc,David Rowland,2019,"$15,031,875"
DUK,Duke Energy Corporation,Lynn Good,2019,"$15,029,386"
UNP,Union Pacific Corporation,Lance Fritz,2019,"$15,018,400"
MASI,Masimo Corporation,Joe Kiani,2019,"$14,996,101"
PRU,"Prudential Financial, Inc.",Charles Lowrey,2019,"$14,995,398"
SYK,Stryker Corporation,Kevin Lobo,2019,"$14,974,829"
BKR,Baker Hughes Company,Lorenzo Simonelli,2019,"$14,922,621"
AYI,"Acuity Brands, Inc.",Vernon Nagel,2019,"$14,874,164"
SHW,The Sherwin-Williams Company,John Morikis,2019,"$14,854,731"
BKNG,Booking Holdings Inc.,Glenn Fogel,2019,"$14,768,526"
PFG,"Principal Financial Group, Inc.",Daniel Houston,2019,"$14,748,051"
NWSA,News Corporation,Robert Thomson,2019,"$14,747,659"
JAZZ,Jazz Pharmaceuticals Plc,Bruce Cozadd,2019,"$14,713,637"
H,Hyatt Hotels Corporation,Mark Hoplamazian,2019,"$14,702,221"
FE,FirstEnergy Corp.,Charles Jones,2019,"$14,684,659"
ALKS,Alkermes Plc,Richard Pops,2019,"$14,637,147"
JEC,Jacobs Engineering Group Inc.,Steven Demetriou,2019,"$14,627,253"
MNK,Mallinckrodt public limited company,Mark Trudeau,2019,"$14,610,755"
TROW,"T. Rowe Price Group, Inc.",William Stromberg,2019,"$14,588,346"
MET,"MetLife, Inc.",Michel Khalaf,2019,"$14,570,581"
LYV,"Live Nation Entertainment, Inc.",Michael Rapino,2019,"$14,563,122"
HIG,"The Hartford Financial Services Group, Inc.",Christopher Swift,2019,"$14,560,748"
EMN,Eastman Chemical Company,Mark Costa,2019,"$14,556,133"
SGEN,"Seattle Genetics, Inc.",Clay Siegall,2019,"$14,521,495"
CTXS,"Citrix Systems, Inc.",David Henshall,2019,"$14,513,856"
ADNT,Adient plc,Douglas Del Grosso,2019,"$14,496,754"
AEP,"American Electric Power Company, Inc.",Nicholas Akins,2019,"$14,492,436"
EDIT,"Editas Medicine, Inc.",Cynthia Collins,2019,"$14,489,736"
HSIC,"Henry Schein, Inc.",Stanley Bergman,2019,"$14,422,944"
ICE,"Intercontinental Exchange, Inc.",Jeffrey Sprecher,2019,"$14,408,908"
CAG,"Conagra Brands, Inc.",Sean Connolly,2019,"$14,392,748"
RCL,Royal Caribbean Cruises Ltd.,Richard Fain,2019,"$14,358,919"
CPRI,Capri Holdings Limited,John Idol,2019,"$14,354,013"
DHI,"D.R. Horton, Inc.",David Auld,2019,"$14,351,631"
GDDY,"GoDaddy, Inc.",Amanpal Bhutani,2019,"$14,310,581"
APA,Apache Corporation,John Christmann,2019,"$14,287,300"
GLW,Corning Incorporated,Wendell Weeks,2019,"$14,283,654"
EFX,Equifax Inc.,Mark Begor,2019,"$14,281,552"
TPX,"Tempur Sealy International, Inc.",Scott Thompson,2019,"$14,277,857"
ETR,Entergy Corporation,Leo Denault,2019,"$14,264,249"
BA,The Boeing Company,Dennis Muilenburg,2019,"$14,250,195"
NOVA,"Sunnova Energy International, Inc.",William Berger,2019,"$14,247,811"
PPL,PPL Corporation,William Spence,2019,"$14,142,567"
FTV,Fortive Corporation,James Lico,2019,"$14,141,477"
AFL,Aflac Incorporated,Daniel Amos,2019,"$14,108,852"
CDK,"CDK Global, Inc.",Brian Krzanich,2019,"$14,106,214"
AMAT,"Applied Materials, Inc.",Gary Dickerson,2019,"$14,072,395"
MRO,Marathon Oil Corporation,Lee Tillman,2019,"$14,050,851"
NBR,Nabors Industries Ltd.,Anthony Petrello,2019,"$14,042,823"
PGR,The Progressive Corporation,Susan Griffith,2019,"$14,041,272"
CCK,"Crown Holdings, Inc.",Timothy Donahue,2019,"$14,010,690"
WHR,Whirlpool Corporation,Marc Bitzer,2019,"$13,999,494"
Y,Alleghany Corporation,Weston Hicks,2019,"$13,993,062"
COMM,"CommScope Holding Co., Inc.",Marvin Edwards Jr.,2019,"$13,992,038"
MNST,Monster Beverage Corporation,Rodney Sacks,2019,"$13,982,434"
NKE,"NIKE, Inc.",Mark Parker,2019,"$13,968,022"
BWA,BorgWarner Inc.,Frederic Lissalde,2019,"$13,947,029"
BAX,Baxter International Inc.,Jose Almeida,2019,"$13,913,821"
NVRO,Nevro Corp.,D. Grossman,2019,"$13,877,665"
HZNP,Horizon Therapeutics Plc,Timothy Walbert,2019,"$13,873,171"
NDAQ,"Nasdaq, Inc.",Adena Friedman,2019,"$13,869,287"
WYNN,Wynn Resorts Ltd.,Matthew Maddox,2019,"$13,851,298"
COG,Cabot Oil & Gas Corporation,Dan Dinges,2019,"$13,830,926"
DVN,Devon Energy Corporation,David Hager,2019,"$13,795,899"
RS,Reliance Steel & Aluminum Co.,James Hoffman,2019,"$13,770,002"
BBBY,Bed Bath & Beyond Inc.,Mark Tritton,2020,"$13,764,398"
MCO,Moody's Corporation,Raymond McDaniel Jr.,2019,"$13,751,632"
LRCX,Lam Research Corporation,Timothy Archer,2019,"$13,745,109"
CNX,CNX Resources Corporation,Nicholas DeIuliis,2019,"$13,741,437"
LEA,Lear Corporation,Raymond Scott,2019,"$13,718,257"
HPE,Hewlett Packard Enterprise Company,Antonio Neri,2019,"$13,714,497"
SKX,"Skechers U.S.A., Inc.",Robert Greenberg,2019,"$13,697,047"
SWKS,"Skyworks Solutions, Inc.",Liam Griffin,2019,"$13,660,593"
TIF,Tiffany & Co.,Alessandro Bogliolo,2020,"$13,500,457"
HES,Hess Corporation,John Hess,2019,"$13,493,661"
MAR,"Marriott International, Inc.",Arne Sorenson,2019,"$13,435,887"
CBRE,"CBRE Group, Inc.",Robert Sulentic,2019,"$13,419,419"
KBH,KB Home,Jeffrey Mezger,2019,"$13,371,376"
PXD,Pioneer Natural Resources Company,Scott Sheffield,2019,"$13,355,547"
DXC,DXC Technology Co.,Michael Salvino,2020,"$13,320,505"
X,United States Steel Corporation,David Burritt,2019,"$13,318,357"
CWT,California Water Service Group,Martin Kropelnicki,2019,"$13,305,445"
LILAK,Liberty Latin America Ltd.,Balan Nair,2018,"$13,293,448"
SLGN,"Silgan Holdings, Inc.",Anthony Allott,2019,"$13,264,941"
LII,Lennox International Inc.,Todd Bluedorn,2019,"$13,218,783"
NTAP,"NetApp, Inc.",George Kurian,2019,"$13,164,969"
BLUE,"bluebird bio, Inc.",Nick Leschly,2019,"$13,153,566"
MGM,MGM Resorts International,James Murren,2019,"$13,146,352"
WELL,"Welltower, Inc.",Thomas DeRosa,2019,"$13,142,124"
XRX,Xerox Holdings Corporation,Giovanni Visentin,2019,"$13,137,434"
TDG,TransDigm Group Incorporated,Kevin Stein,2019,"$13,135,200"
ENDP,Endo International Plc,Paul Campanelli,2019,"$13,118,281"
RF,Regions Financial Corporation,John Turner Jr.,2019,"$13,115,267"
RJF,"Raymond James Financial, Inc.",Paul Reilly,2019,"$13,090,394"
PEG,Public Service Enterprise Group Incorporated,Ralph Izzo,2019,"$13,074,227"
INFO,IHS Markit Ltd.,Lance Uggla,2019,"$13,067,316"
CNA,CNA Financial Corporation,Dino Robusto,2019,"$13,054,480"
NBL,"Noble Energy, Inc.",David Stover,2019,"$13,038,313"
AA,Alcoa Corp.,Roy Harvey,2019,"$12,963,461"
CXO,Concho Resources Inc.,Timothy Leach,2019,"$12,958,451"
NLSN,Nielsen Holdings Plc,David Kenny,2019,"$12,936,400"
FRC,First Republic Bank,James Herbert,2019,"$12,884,327"
WDC,Western Digital Corporation,Stephen Milligan,2019,"$12,866,469"
MCHP,Microchip Technology Incorporated,Steve Sanghi,2019,"$12,864,939"
AMED,"Amedisys, Inc.",Paul Kusserow,2019,"$12,835,547"
NOV,"National Oilwell Varco, Inc.",Clay Williams,2019,"$12,826,364"
NCR,NCR Corporation,Michael Hayford,2019,"$12,780,572"
MKC,"McCormick & Company, Incorporated",Lawrence Kurzius,2019,"$12,769,185"
HAL,Halliburton Company,Jeffrey Miller,2019,"$12,753,614"
CLR,"Continental Resources, Inc.",Harold Hamm,2019,"$12,746,088"
EOG,"EOG Resources, Inc.",William Thomas,2019,"$12,738,856"
OLED,Universal Display Corporation,Steven Abramson,2019,"$12,733,442"
ROKU,"Roku, Inc.",Anthony Wood,2019,"$12,675,524"
TGTX,"TG Therapeutics, Inc.",Michael Weiss,2019,"$12,674,726"
FLR,Fluor Corporation,David Seaton,2018,"$12,673,601"
ARES,Ares Management Corporation,Michael Arougheti,2019,"$12,665,722"
UAL,"United Airlines Holdings, Inc.",Oscar Munoz,2019,"$12,643,005"
CCI,Crown Castle International Corp.,Jay Brown,2019,"$12,620,843"
RSG,"Republic Services, Inc.",Donald Slager,2019,"$12,617,294"
NUAN,"Nuance Communications, Inc.",Mark Benjamin,2019,"$12,582,183"
OVV,"Ovintiv, Inc.",Douglas Suttles,2019,"$12,570,394"
ALLK,"Allakos, Inc.",Robert Alexander,2019,"$12,559,272"
VOYA,"Voya Financial, Inc.",Rodney Martin Jr.,2019,"$12,554,291"
LBRDK,Liberty Broadband Corp.,Gregory Maffei,2019,"$12,553,984"
MAN,"ManpowerGroup, Inc.",Jonas Prising,2019,"$12,545,932"
CERN,Cerner Corporation,Brent Shafer,2019,"$12,538,797"
BK,The Bank of New York Mellon Corporation,Thomas Gibbons,2019,"$12,525,701"
A,"Agilent Technologies, Inc.",Michael McMullen,2019,"$12,520,566"
SCI,Service Corporation International,Thomas Ryan,2019,"$12,510,895"
