Ticker,Company,CEO,Year,SEO Pay
APO,"Apollo Global Management, Inc.",Leon Black,2019,"$260,175"
KRUS,"Kura Sushi USA, Inc.",Hajime Uba,2019,"$259,353"
EVER,"EverQuote, Inc.",Seth Birnbaum,2019,"$255,440"
RFL,"Rafael Holdings, Inc.",Howard Jonas,2019,"$250,000"
EIDX,"Eidos Therapeutics, Inc.",Neil Kumar,2019,"$247,684"
FLGT,"Fulgent Genetics, Inc.",Ming Hsieh,2019,"$240,000"
IIIV,"i3 Verticals, Inc.",Gregory Daily,2019,"$235,173"
NRC,National Research Corporation,Michael Hays,2019,"$233,878"
BOX,"Box, Inc.",Aaron Levie,2020,"$232,715"
SIEB,Siebert Financial Corp.,Andrew Reich,2018,"$230,000"
CHMI,Cherry Hill Mortgage Investment Corp.,Jeffrey Lown II,2019,"$211,680"
INOV,"Inovalon Holdings, Inc.",Keith Dunleavy,2019,"$210,551"
AJX,Great Ajax Corp.,Lawrence Mendelsohn,2019,"$195,160"
ALX,"Alexander's, Inc.",Steven Roth,2019,"$159,483"
CPRT,"Copart, Inc.",A. Adair,2019,"$156,316"
FONR,FONAR Corp.,Timothy Damadian,2019,"$155,800"
EPM,Evolution Petroleum Corporation,Robert Herlin,2019,"$150,000"
CSBR,"Champions Oncology, Inc.",Ronnie Morris,2019,"$146,281"
ANH,Anworth Mortgage Asset Corporation,Joseph McAdams,2019,"$145,619"
EARN,Ellington Residential Mortgage REIT,John Herlihy,2019,"$143,684"
DHC,Diversified Healthcare Trust,Jennifer Francis,2019,"$138,642"
CYCN,"Cyclerion Therapeutics, Inc.",Peter Hecht,2019,"$121,628"
SC,"Santander Consumer USA Holdings, Inc.",Mahesh Aditya,2019,"$119,230"
TTWO,"Take-Two Interactive Software, Inc.",Strauss Zelnick,2019,"$109,540"
CRNC,"Cerence, Inc.",Sanjay Dhawan,2019,"$105,324"
NMRD,"Nemaura Medical, Inc.",Dewan Hoque Chowdhury,2019,"$105,258"
CMCO,Columbus McKinnon Corporation,Richard Fleming,2020,"$92,742"
CNNE,"Cannae Holdings, Inc.",Richard Massey,2019,"$85,001"
W,"Wayfair, Inc.",Niraj Shah,2019,"$83,237"
ERII,"Energy Recovery, Inc.",Robert Mao,2019,"$62,308"
LEGH,Legacy Housing Corporation,Curtis Hodgson,2018,"$50,000"
URBN,"Urban Outfitters, Inc.",Richard Hayne,2020,"$47,824"
AAXN,"Axon Enterprise, Inc.",Patrick Smith,2019,"$38,529"
AFIN,"American Finance Trust, Inc.",Edward Weil Jr.,2019,"$27,664"
TSLA,"Tesla, Inc.",Elon Musk,2019,"$23,760"
CWH,"Camping World Holdings, Inc.",Marcus Lemonis,2019,"$9,634"
KMI,"Kinder Morgan, Inc.",Steven Kean,2019,"$7,270"
SPOT,Spotify Technology SA,Daniel Ek,2018,"$2,220"
SQ,"Square, Inc.",Jack Dorsey,2019,$3
EQT,EQT Corporation,Toby Rice,2019,$1
ODT,"Odonate Therapeutics, Inc.",Kevin Tang,2019,$1
TWTR,"Twitter, Inc.",Jack Dorsey,2019,$1
ARL,"American Realty Investors, Inc.",Daniel Moos,2018,$0
BPYU,"Brookfield Property REIT, Inc.",Brian Kingston,2019,$0
DOX,Amdocs Limited,Eli Gelman,2018,$0
ELA,Envela Corporation,John Loftus,2019,$0
FF,FutureFuel Corp.,Paul Novelly,2018,$0
IVR,Invesco Mortgage Capital Inc.,John Anzalone,2019,$0
NH,"NantHealth, Inc.",Patrick Soon-Shiong,2019,$0
NLY,"Annaly Capital Management, Inc.",Glenn Votek,2019,$0
NRZ,New Residential Investment Corp.,Michael Nierenberg,2019,$0
ORC,"Orchid Island Capital, Inc.",Robert Cauley,2019,$0
STWD,"Starwood Property Trust, Inc.",Barry Sternlicht,2019,$0
